source,brand,model,year,price,city,mileage_km,mileage_missing,body_type,engine_volume_l,fuel_type,transmission,drive_type,steering_wheel,color,condition,car_age,is_new
cars_ml,Toyota,Land Cruiser,2019,37500000,Алматы,147775,0,suv,4.6,petrol,automatic,awd,left,unknown,used,7,0
cars_ml,Hyundai,Accent,2014,3300000,Астана,-1,1,sedan,1.6,petrol,manual,fwd,left,белый,unknown,12,0
cars_ml,Chevrolet,Cobalt,2024,5750000,Петропавловск,39500,0,sedan,1.5,petrol,automatic,fwd,left,серый металлик,used,2,0
cars_ml,Toyota,Highlander,2019,15900000,Алматы,220000,0,crossover,3.5,petrol,automatic,awd,left,unknown,used,7,0
cars_ml,Mercedes-Benz,CLS 400,2016,17500000,Шымкент,180000,0,sedan,3.0,petrol,automatic,awd,left,unknown,used,10,0
cars_ml,Deepal,S07,2025,11300000,Алматы,-1,1,crossover,1.5,hybrid,automatic,rwd,left,серый металлик,unknown,1,0
cars_ml,ВАЗ,(Lada) Priora 2172,2014,2700000,Атбасар,-1,1,hatchback,1.6,petrol,manual,fwd,left,белый металлик,unknown,12,0
cars_ml,Changan,CS55 Plus,2026,8900000,Алматы,-1,1,crossover,1.5,petrol,robot,fwd,left,серый,unknown,0,0
cars_ml,Toyota,Highlander,2018,16000000,Алматы,246321,0,crossover,3.5,petrol,automatic,awd,left,черный,used,8,0
cars_ml,Mercedes-Benz,S 320,1999,3000000,Шымкент,420000,0,sedan,3.2,petrol,automatic,rwd,left,синий металлик,used,27,0
cars_ml,AITO,M7 Ultra 4WD 5s,2026,25000000,Астана,-1,1,suv,1.5,hybrid,automatic,awd,left,серый,unknown,0,0
cars_ml,Chery,Tiggo 8 Pro Max,2023,10100000,Астана,40000,0,crossover,2.0,petrol,robot,awd,left,серый металлик,used,3,0
cars_ml,Audi,A4 allroad,2020,19500000,Алматы,41000,0,wagon,2.0,petrol,robot,awd,left,серый,used,6,0
cars_ml,Lexus,GS 350,2008,8500000,Алматы,125000,0,sedan,3.5,petrol,automatic,rwd,left,черный металлик,used,18,0
cars_ml,Mercedes-Benz,S 500,2015,24990000,Алматы,50000,0,sedan,4.7,petrol,automatic,awd,left,unknown,used,11,0
cars_ml,Toyota,Harrier,1999,5555555,Алматы,216000,0,crossover,3.0,petrol,automatic,awd,right,серебристый металлик,used,27,0
cars_ml,Chevrolet,Nexia,2021,3750000,Караганда,198000,0,sedan,1.5,petrol,automatic,fwd,left,белый металлик,used,5,0
cars_ml,ГАЗ,ГАЗель,2003,3200000,Шымкент,136000,0,van,2.9,petrol-gas,manual,rwd,left,белый,used,23,0
cars_ml,Hyundai,Sonata,2019,7200000,Алматы,210000,0,sedan,2.0,gas,automatic,fwd,left,белый металлик,used,7,0
cars_ml,Hyundai,Elantra,2023,9000000,Костанай,20000,0,sedan,1.5,petrol,variator,fwd,left,серый металлик,used,3,0
