iter	Passed	Remaining
584	1235	19883
585	1237	19881
586	1239	19874
587	1241	19874
588	1243	19864
589	1245	19860
590	1247	19853
591	1249	19850
592	1251	19849
593	1252	19840
594	1255	19844
595	1258	19852
596	1260	19846
597	1261	19839
598	1265	19857
599	1267	19852
600	1269	19850
601	1272	19858
602	1274	19859
603	1277	19867
604	1279	19862
605	1281	19871
606	1283	19864
607	1286	19871
608	1288	19872
609	1291	19874
610	1293	19875
611	1295	19878
612	1297	19872
613	1299	19864
614	1300	19851
615	1302	19847
616	1305	19852
617	1307	19852
618	1309	19848
619	1311	19847
620	1313	19843
621	1315	19832
622	1317	19832
623	1319	19830
624	1321	19821
625	1323	19825
626	1325	19817
627	1328	19832
628	1331	19836
629	1333	19831
630	1335	19827
631	1337	19822
632	1340	19830
633	1341	19818
634	1343	19820
635	1345	19812
636	1347	19809
637	1350	19809
638	1351	19801
639	1353	19798
640	1355	19794
641	1357	19787
642	1359	19777
643	1360	19771
644	1363	19774
645	1365	19765
646	1366	19757
647	1368	19744
648	1370	19752
649	1372	19737
650	1373	19731
651	1375	19726
652	1377	19722
653	1380	19722
654	1382	19720
655	1383	19706
656	1385	19698
657	1387	19702
658	1389	19700
659	1392	19704
660	1393	19694
661	1396	19697
662	1398	19692
663	1399	19683
664	1401	19676
665	1403	19666
666	1404	19659
667	1406	19651
668	1408	19644
669	1410	19635
670	1411	19629
671	1413	19620
672	1415	19615
673	1417	19610
674	1419	19605
675	1420	19597
676	1422	19587
677	1425	19595
678	1427	19592
679	1429	19595
680	1431	19590
681	1433	19584
682	1435	19580
683	1436	19569
684	1438	19566
685	1440	19558
686	1443	19561
687	1444	19556
688	1447	19558
689	1448	19549
690	1450	19544
691	1453	19546
692	1454	19537
693	1456	19527
694	1458	19521
695	1460	19520
696	1462	19519
697	1464	19518
698	1466	19510
699	1469	19518
700	1470	19508
701	1472	19504
702	1474	19498
703	1476	19493
704	1478	19489
705	1480	19485
706	1481	19475
707	1483	19474
708	1485	19471
709	1487	19465
710	1489	19459
711	1491	19453
712	1494	19461
713	1495	19452
714	1497	19441
715	1498	19433
716	1500	19423
717	1502	19426
718	1504	19418
719	1506	19415
720	1507	19407
721	1509	19394
722	1510	19387
723	1512	19384
724	1514	19377
725	1517	19386
726	1519	19382
727	1521	19374
728	1523	19375
729	1525	19374
730	1527	19373
731	1529	19367
732	1531	19367
733	1534	19371
734	1536	19366
735	1538	19369
736	1540	19359
737	1542	19356
738	1543	19345
739	1545	19338
740	1547	19333
741	1549	19333
742	1551	19325
743	1552	19320
744	1554	19315
745	1557	19318
746	1559	19314
747	1561	19309
748	1563	19312
749	1565	19311
750	1568	19317
751	1571	19323
752	1573	19319
753	1575	19321
754	1577	19321
755	1580	19325
756	1583	19330
757	1585	19331
758	1587	19326
759	1589	19321
760	1591	19325
761	1593	19324
762	1597	19333
763	1600	19344
764	1602	19342
765	1604	19343
766	1607	19346
767	1609	19344
768	1610	19338
769	1613	19342
770	1616	19346
771	1618	19342
772	1619	19331
773	1621	19328
774	1623	19328
775	1626	19330
776	1628	19326
777	1630	19331
778	1632	19326
779	1634	19319
780	1636	19320
781	1638	19319
782	1640	19315
783	1642	19309
784	1646	19322
785	1647	19318
786	1650	19320
787	1652	19321
788	1654	19315
789	1656	19311
790	1658	19312
791	1661	19313
792	1664	19320
793	1665	19307
794	1667	19312
795	1669	19305
796	1671	19306
797	1673	19300
798	1675	19298
799	1678	19298
800	1679	19293
801	1682	19299
802	1684	19296
803	1686	19286
804	1688	19284
805	1690	19282
806	1693	19291
807	1696	19298
808	1698	19298
809	1700	19298
810	1703	19296
811	1704	19292
812	1707	19294
813	1709	19287
814	1712	19294
815	1714	19292
816	1716	19293
817	1718	19289
818	1720	19284
819	1723	19290
820	1725	19287
821	1727	19287
822	1729	19289
823	1732	19292
824	1734	19293
825	1737	19296
826	1740	19300
827	1742	19297
828	1744	19299
829	1747	19301
830	1748	19292
831	1750	19287
832	1751	19280
833	1754	19281
834	1756	19277
835	1758	19273
836	1760	19276
837	1762	19270
838	1764	19264
839	1766	19267
840	1769	19274
841	1772	19275
842	1774	19279
843	1777	19278
844	1779	19277
845	1781	19276
846	1783	19269
847	1784	19262
848	1787	19261
849	1788	19257
850	1790	19251
851	1793	19252
852	1795	19249
853	1797	19254
854	1799	19249
855	1801	19244
856	1803	19240
857	1805	19233
858	1807	19239
859	1810	19237
860	1811	19232
861	1813	19227
862	1815	19222
863	1817	19216
864	1819	19214
865	1821	19216
866	1824	19216
867	1826	19211
868	1828	19208
869	1831	19219
870	1833	19221
871	1835	19214
872	1837	19212
873	1839	19206
874	1841	19202
875	1843	19197
876	1845	19195
877	1847	19193
878	1849	19187
879	1850	19182
880	1853	19187
881	1856	19188
882	1858	19190
883	1860	19182
884	1863	19188
885	1864	19182
886	1866	19176
887	1868	19171
888	1870	19166
889	1871	19160
890	1873	19152
891	1874	19143
892	1876	19139
893	1879	19142
894	1882	19149
895	1884	19143
896	1885	19138
897	1887	19133
898	1890	19134
899	1891	19127
900	1893	19121
901	1895	19115
902	1896	19106
903	1898	19107
904	1900	19103
905	1903	19104
906	1904	19096
907	1906	19092
908	1908	19091
909	1911	19091
910	1914	19098
911	1916	19093
912	1918	19092
913	1920	19095
914	1923	19102
915	1925	19098
916	1928	19099
917	1930	19095
918	1932	19091
919	1934	19095
920	1937	19098
921	1939	19093
922	1940	19087
923	1943	19085
924	1945	19087
925	1947	19082
926	1949	19082
927	1951	19077
928	1953	19072
929	1955	19068
930	1956	19062
931	1958	19054
932	1960	19048
933	1961	19042
934	1963	19036
935	1965	19034
936	1967	19032
937	1969	19024
938	1971	19019
939	1972	19010
940	1974	19008
941	1976	19005
942	1978	18999
943	1979	18992
944	1981	18985
945	1983	18986
946	1985	18985
947	1988	18988
948	1990	18985
949	1992	18981
950	1994	18982
951	1996	18976
952	1998	18972
953	2000	18969
954	2002	18964
955	2004	18961
956	2006	18956
957	2008	18959
958	2010	18955
959	2012	18950
960	2014	18943
961	2015	18938
962	2017	18933
963	2019	18929
964	2021	18922
965	2022	18917
966	2024	18912
967	2026	18912
968	2028	18907
969	2030	18903
970	2032	18897
971	2034	18892
972	2036	18893
973	2038	18887
974	2040	18886
975	2042	18883
976	2044	18884
977	2046	18879
978	2048	18875
979	2050	18873
980	2052	18868
981	2054	18863
982	2055	18858
983	2057	18855
984	2059	18851
985	2062	18852
986	2064	18849
987	2065	18843
988	2067	18838
989	2069	18832
990	2071	18833
991	2073	18832
992	2076	18832
993	2077	18826
994	2079	18818
995	2082	18822
996	2083	18817
997	2085	18810
998	2087	18807
999	2090	18810
1000	2092	18808
1001	2094	18807
1002	2096	18803
1003	2097	18798
1004	2100	18799
1005	2102	18794
1006	2104	18792
1007	2105	18785
1008	2108	18792
1009	2111	18792
1010	2113	18788
1011	2115	18784
1012	2117	18783
1013	2118	18776
1014	2120	18773
1015	2123	18774
1016	2125	18769
1017	2126	18764
1018	2128	18761
1019	2130	18758
1020	2132	18755
1021	2134	18750
1022	2137	18754
1023	2139	18752
1024	2141	18752
1025	2143	18751
1026	2145	18741
1027	2147	18742
1028	2149	18739
1029	2151	18735
1030	2153	18733
1031	2155	18730
1032	2158	18733
1033	2159	18723
1034	2160	18717
1035	2163	18720
1036	2165	18714
1037	2167	18709
1038	2168	18702
1039	2170	18697
1040	2171	18689
1041	2174	18689
1042	2175	18683
1043	2177	18676
1044	2179	18673
1045	2181	18671
1046	2182	18665
1047	2185	18666
1048	2187	18665
1049	2189	18664
1050	2191	18660
1051	2194	18663
1052	2196	18665
1053	2198	18659
1054	2200	18660
1055	2202	18652
1056	2203	18647
1057	2205	18642
1058	2208	18646
1059	2210	18640
1060	2212	18642
1061	2214	18636
1062	2216	18631
1063	2218	18627
1064	2220	18632
1065	2223	18631
1066	2225	18631
1067	2226	18624
1068	2228	18620
1069	2230	18614
1070	2232	18613
1071	2234	18608
1072	2236	18603
1073	2237	18599
1074	2239	18596
1075	2241	18594
1076	2244	18596
1077	2246	18591
1078	2248	18592
1079	2250	18589
1080	2252	18581
1081	2254	18582
1082	2256	18579
1083	2258	18573
